Licensee Name,Removal Reason
QUAIL RIDGE PROPERTY OWNERS ASSOCIATION INC,Association/HOA/Condo/Timeshare
"CORAL MOTEL CONDOMINIUM ASSOCIATION, INC.",Association/HOA/Condo/Timeshare
SEACOVE CONDO ASSOCIATION,Association/HOA/Condo/Timeshare
PRINCESS OWNERS ASSOCIATION INC,Association/HOA/Condo/Timeshare
VANDERBILT B&N CLB CONDO AS IN,Association/HOA/Condo/Timeshare
HOLLYWOOD SANDS RESORT OWNERS ASSOCIATION INC,Association/HOA/Condo/Timeshare
COLLWOOD CONDO ASSN,Association/HOA/Condo/Timeshare
FAR HORIZONS CONDO ASSN INC,Association/HOA/Condo/Timeshare
MADEIRA VISTA CONDO ASSOC,Association/HOA/Condo/Timeshare
MARINA VILLAGE CONDO ASSN INC,Association/HOA/Condo/Timeshare
I H B C REAL ESTATE INC,Single-building operator
BEACH CLUB ST AUG B&T RST CNDO,Single-building operator
SPLIT ENTITY,Single-building operator
DUNES OF PANAMA PHASE I,Single-building operator
BRYANS SPANISH COVE OWNER ASSN,Single-building operator
COASTAL VIBE VACATIONS LLC,Single-building operator
SUNHOST-SURF SONG RESORT,Single-building operator
PANAMA CITY RESORT & CLUB ASSO,Single-building operator
"KALEO HOME BASE, LLC",Single-building operator
ISLAND TOWERS RESORT CLUB ASSN,Single-building operator
JTCI5 SUNNY ISLES LP,Single-building operator
CANADA HOUSE BEACH CLUB WEST,Single-building operator
OYSTER BAY RESORT OWN ASSC INC,Single-building operator
TREASURE ISLAND BCH CLUB ASSN,Single-building operator
CORAL REEF CLUB,Single-building operator
"FINANCIAL DEVELOPMENTS ASSOCIATES, INC",Single-building operator
"ARK ISLAND BEACH RESORT, LLC",Single-building operator
CALIENTE RESORTS LLC,Single-building operator
ISLAND ONE RESORTS MANAGEMENT CORPORATION,Single-building operator
RITZ-CARLTON HOTEL COMPANY LLC,Single-building operator
RDW KEY BISCAYNE LLC,Single-building operator
SOUTH BEACH RESORT PROPERTIES LLC,Single-building operator
ANCHORAGE RESORT YACHT CLUB,Single-building operator
ALL SEASONS VACATION RESORT,Single-building operator
SOPHIC SOLUTIONS LLC,Single-building operator
LAS OLAS BEACH CLUB,Single-building operator
MARLIN APTS CONDOMINUIM INC,Single-building operator
SILVER SEAS BEACH CLUB INC,Single-building operator
TROPICANA RESORT,Single-building operator
KAHLUA BEACH CLUB ASSN INC,Single-building operator
CONTINENTAL HOLDINGS,Single-building operator
GRAND OAKS LLC,Single-building operator
SS VACATION RENTAL LLC,Single-building operator
SAND KEY SALES & RENTAL INC,Single-building operator
SIENA AT BELLA COLLINA RENTALS LLC,Single-building operator
YOUR ASSISTANT AT THE BEACH LLC,Single-building operator
